Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,Peak Match,Peak Age,Peak Elo
Carlos Alcaraz,19.9,2159.5,2037,2014.7,1500,2098.2,2087.1,1829.8,2022 Roland Garros R16,19,2224.5
Novak Djokovic,35.9,2151.9,2075.4,1891.4,1871.6,2113.7,2021.6,2011.7,2016 Miami F,28.8,2470.1
Daniil Medvedev,27.1,2132.8,2060.8,1730.7,1731.8,2096.8,1931.7,1932.3,2022 Australian Open SF,25.9,2191.8
Jannik Sinner,21.6,2101.4,1996.4,1965.4,1543.3,2048.9,2033.4,1822.4,2023 Miami SF,21.5,2110
Stefanos Tsitsipas,24.6,2047,1922.4,2017.8,1711,1984.7,2032.4,1879,2021 Roland Garros SF,22.8,2133.3
Holger Rune,19.9,2040,1906.6,1860.2,1351.8,1973.3,1950.1,1695.9,2023 Munich F,19.9,2040
Andrey Rublev,25.4,2026.8,1912.7,1904.6,1611.8,1969.8,1965.7,1819.3,2021 Monte Carlo SF,23.4,2106.1
Taylor Fritz,25.4,2022.7,1930.7,1767.7,1663.6,1976.7,1895.2,1843.1,2023 Monte Carlo QF,25.4,2041.2
Felix Auger Aliassime,22.6,1991.8,1896,1785.1,1687.8,1943.9,1888.5,1839.8,2022 Paris QF,22.2,2053
Matteo Berrettini,26.9,1960.4,1764.7,1902,1953.9,1862.6,1931.2,1957.2,2022 Gstaad SF,26.2,2072.5
Cameron Norrie,27.6,1955,1851.4,1884.4,1660.7,1903.2,1919.7,1807.8,2022 Cincinnati QF,26.9,2018.3
Hubert Hurkacz,26.1,1945.2,1859.6,1740.4,1753.3,1902.4,1842.8,1849.3,2022 Canada SF,25.4,1998
Frances Tiafoe,25.2,1940.4,1854.1,1724.4,1604,1897.3,1832.4,1772.2,2023 Houston F,25.1,1955.1
Karen Khachanov,26.9,1939.8,1833.3,1801.9,1689.1,1886.6,1870.8,1814.4,2018 Paris F,22.4,2015.2
Casper Ruud,24.3,1935,1780.4,1949.5,1426.5,1857.7,1942.2,1680.7,2022 Roland Garros SF,23.4,2063.9
Tommy Paul,25.8,1927.9,1867.1,1573.1,1629.1,1897.5,1750.5,1778.5,2023 Miami R32,25.8,1953.2
Alex De Minaur,24.1,1927,1843.9,1636.1,1651.9,1885.5,1781.6,1789.5,2020 Atp Cup RR,20.8,1993.4
Rafael Nadal,36.6,1923.7,1756.2,1853.4,1505.2,1840,1888.6,1714.5,2009 Madrid SF,22.9,2370.1
Alexander Zverev,25.9,1915.1,1796.2,1877.9,1546.2,1855.7,1896.5,1730.7,2022 Atp Cup RR,24.7,2161.6
Nick Kyrgios,27.4,1907.9,1762.1,1500,1631,1835,1703.9,1769.4,2017 Cincinnati SF,22.2,2089.3
Jack Draper,21.2,1903.8,1833.4,1419.2,1527.4,1868.6,1661.5,1715.6,2023 Monte Carlo R64,21.2,1921.6
Grigor Dimitrov,31.9,1903.1,1798.9,1771.5,1517.5,1851,1837.3,1710.3,2014 Canada QF,23.2,2090.5
Sebastian Korda,22.5,1890.6,1803.3,1603.5,1500,1847,1747.1,1695.3,2023 Australian Open R16,22.5,2005.6
Jiri Lehecka,21.4,1881.2,1765.3,1726.6,1370.7,1823.3,1803.9,1626,2023 Doha QF,21.2,1901.1
Botic Van De Zandschulp,27.5,1876.4,1757.2,1749.7,1584.2,1816.8,1813.1,1730.3,2022 Tel Aviv R32,26.9,1929
Pablo Carreno Busta,31.5,1875.5,1763.2,1821.8,1480.5,1819.4,1848.7,1678,2021 Winston-Salem R16,30.1,2001.9
Andy Murray,35.9,1859.7,1739.3,1779.3,1694.7,1799.5,1819.5,1777.2,2017 Doha SF,29.6,2347.1
Borna Coric,26.4,1858.5,1809,1696.2,1620.3,1833.8,1777.3,1739.4,2019 Australian Open R32,22.1,1999.1
Alejandro Davidovich Fokina,23.8,1850,1726,1770.9,1531.8,1788,1810.4,1690.9,2021 Roland Garros R16,21.9,1928.3
Brandon Nakashima,21.6,1844.4,1731.5,1559.4,1665.8,1788,1701.9,1755.1,2021 NextGen Finals RR,20.2,1897.6
Yoshihito Nishioka,27.5,1842.1,1770.9,1577.5,1374.5,1806.5,1709.8,1608.3,2023 Australian Open R32,27.3,1891.9
Roberto Bautista Agut,35,1841.7,1749.3,1700.8,1715.1,1795.5,1771.3,1778.4,2016 Rotterdam R16,27.8,2014.4
Lorenzo Musetti,21.1,1834,1675.4,1830,1310.1,1754.7,1832,1572.1,2022 Paris R16,20.6,1925.3
Francisco Cerundolo,24.6,1831.8,1698.1,1787.7,1368.5,1765,1809.7,1600.2,2022 Hamburg QF,23.9,1855.3
Reilly Opelka,24.9,1831.5,1808.1,1679.3,1374.7,1819.8,1755.4,1603.1,2022 Houston F,24.5,1936.4
Denis Shapovalov,24,1830.3,1752.7,1727,1565,1791.5,1778.7,1697.7,2020 Auckland R16,20.7,1970.1
Lorenzo Sonego,27.9,1825.3,1721,1660.9,1628.4,1773.1,1743.1,1726.9,2021 Rome QF,25.9,1887.9
Jenson Brooksby,22.2,1823.9,1777,1607.9,1542.4,1800.5,1715.9,1683.2,2022 Miami R32,21.3,1995.7
John Isner,37.9,1823.2,1719.1,1724.3,1691.5,1771.2,1773.8,1757.4,2012 US Open R64,27.3,2039.8
Emil Ruusuvuori,24,1821.5,1743,1595.2,1531.7,1782.2,1708.3,1676.6,2022 Munich R16,23,1866.1
Miomir Kecmanovic,23.6,1819.9,1715.6,1750.3,1517.3,1767.7,1785.1,1668.6,2022 Munich QF,22.6,1895.2
Yibing Wu,23.5,1815,1755.8,1344.2,-,1785.4,1579.6,1607.5,2023 Indian Wells R128,23.3,1874.4
Cristian Garin,26.8,1809.3,1660,1701.2,1641.2,1734.7,1755.2,1725.3,2021 Bastad R16,25.1,1888.3
Tallon Griekspoor,26.7,1808.7,1740,1707.5,1598.5,1774.3,1758.1,1703.6,2022 Australian Open R128,25.5,1924.9
Stan Wawrinka,38,1808.5,1742,1651.3,1462.5,1775.3,1729.9,1635.5,2016 Australian Open R32,30.8,2144.1
Thanasi Kokkinakis,26.9,1807.8,1736.6,1668.7,1396.3,1772.2,1738.3,1602,2015 Queen's Club R32,19.1,1867.7
Daniel Evans,32.9,1806.1,1712.7,1664.6,1685.9,1759.4,1735.3,1746,2021 Monte Carlo QF,30.8,1887.4
Corentin Moutet,23.7,1804.7,1707.3,1664.3,1483.1,1756,1734.5,1643.9,2023 Australian Open R128,23.7,1820.1
Jan Lennard Struff,32.9,1801.1,1707.3,1725.1,1458.3,1754.2,1763.1,1629.7,2019 Wimbledon R64,29.1,1898.4
Alex Molcan,25.3,1801.1,1650.1,1758.9,1532.4,1725.6,1780,1666.8,2022 Hamburg R16,24.6,1848.5
Marton Fucsovics,31.1,1796.4,1691.2,1660.3,1626.6,1743.8,1728.4,1711.5,2021 Miami R64,29.1,1924.5
J J Wolf,24.2,1792,1707.4,1494,-,1749.7,1643,1596,2023 Dallas QF,24.1,1844.9
Marin Cilic,34.2,1788.7,1659.3,1662,1664.9,1724,1725.3,1726.8,2010 Dubai R16,21.4,2094.5
Benjamin Bonzi,26.8,1788.6,1692.4,1580.3,1651.3,1740.5,1684.5,1720,2022 Mallorca QF,26,1816.6
David Goffin,32.3,1787.5,1654.3,1765.4,1721.9,1720.9,1776.4,1754.7,2017 Rome R32,26.4,2038.6
Dusan Lajovic,32.7,1786.8,1574,1756.1,1316.4,1680.4,1771.5,1551.6,2018 Beijing R16,28.2,1845.6
Mackenzie Mcdonald,28,1786.4,1731.9,1523.3,1567,1759.1,1654.8,1676.7,2023 Miami R64,27.9,1832.8
Soon Woo Kwon,25.2,1785.9,1719.1,1529.8,1465.6,1752.5,1657.9,1625.7,2023 Adelaide 2 F,25.1,1822.1
Mikael Ymer,24.4,1784.1,1700.3,1531.8,1467,1742.2,1657.9,1625.6,2019 Stockholm R32,21,1875.4
Nicolas Jarry,27.5,1780.8,1525.9,1756.6,1493.8,1653.3,1768.7,1637.3,2018 Shanghai R32,22.9,1810.8
Quentin Halys,26.4,1780.4,1670.4,1577,1497.2,1725.4,1678.7,1638.8,2023 Estoril QF,26.4,1796.4
Ilya Ivashka,29.1,1779.7,1661.3,1662.8,1616.5,1720.5,1721.3,1698.1,2021 Nur-Sultan QF,27.5,1911.8
Diego Schwartzman,30.6,1774.6,1680.8,1779.5,1461.3,1727.7,1777.1,1618,2020 Paris R16,28.2,1973.2
Nuno Borges,26.1,1773.9,1738,1545.8,1459.3,1755.9,1659.8,1616.6,2023 Miami Qual,26,1794.3
Leandro Riedi,21.1,1773.4,1709.4,1256.5,-,1741.4,1514.9,1586.7,2023 Canberra CH SF,20.9,1809.6
Marcos Giron,29.7,1770.8,1677.1,1529,1552.5,1724,1649.9,1661.7,2021 Paris R32,28.2,1843.1
Ben Shelton,20.5,1767.4,1686.8,1371.6,-,1727.1,1569.5,1583.7,2023 Australian Open R16,20.2,1844.1
Dominic Thiem,29.6,1765.1,1711.4,1665.9,1500,1738.3,1715.5,1632.6,2016 Halle R16,22.7,2123.4
Lloyd Harris,26,1763.5,1708.3,1552.5,1431.5,1735.9,1658,1597.5,2021 Antwerp QF,24.6,1889.9
Luca Van Assche,18.9,1761.6,1594.6,1679.7,-,1678.1,1720.7,1580.8,2023 Estoril R32,18.8,1780.2
Richard Gasquet,36.8,1760.5,1685.1,1622.9,1614.9,1722.8,1691.7,1687.7,2013 Monte Carlo R16,26.8,2051.9
Adrian Mannarino,34.7,1760.1,1720.2,1409.4,1621.1,1740.2,1584.8,1690.6,2018 Australian Open R64,29.5,1884.6
Filip Krajinovic,31.1,1759.3,1635.2,1732.7,1546.3,1697.2,1746,1652.8,2020 Rome R32,28.5,1939.3
Hugo Dellien,29.7,1757.6,1344.4,1718.5,1337,1551,1738.1,1547.3,2023 Santiago CH F,29.7,1768.4
Tomas Martin Etcheverry,23.7,1755.6,1503.7,1713.2,1335.5,1629.6,1734.4,1545.6,2021 Cordenons CH SF,22,1782.3
Christopher Oconnell,28.8,1753.1,1610.6,1668.8,1556,1681.8,1711,1654.5,2022 Chicago CH R32,28.1,1760.4
Laslo Djere,27.8,1752.9,1619.7,1704.1,1269.1,1686.3,1728.5,1511,2021 Gstaad QF,26.1,1805.6
Kamil Majchrzak,26.7,1752.6,1669.1,1628.6,1573.5,1710.8,1690.6,1663,2022 Pune QF,26,1784
Yosuke Watanuki,24.9,1750,1670.7,1562.3,1435.4,1710.4,1656.2,1592.7,2023 Monterrey CH QF,24.8,1780.7
Arthur Rinderknech,27.6,1748.9,1664.6,1661.9,1497.9,1706.8,1705.4,1623.4,2022 Basel R16,27.2,1861.7
Ugo Humbert,24.8,1748.3,1677,1439.3,1592.9,1712.7,1593.8,1670.6,2021 Tokyo Olympics R16,23,1915.5
Maxime Cressy,25.9,1747.7,1651.4,1360.7,1734.4,1699.5,1554.2,1741,2023 Rotterdam R32,25.7,1835.7
Gregoire Barrere,29.1,1744.9,1689.5,1444.7,1513.5,1717.2,1594.8,1629.2,2023 Marseille R32,29,1795.9
Tomas Machac,22.4,1741.2,1607.8,1648.6,1418.4,1674.5,1694.9,1579.8,2022 Cassis CH QF,21.8,1795.8
Bernabe Zapata Miralles,26.2,1736.1,1452.9,1736.7,1577.7,1594.5,1736.4,1656.9,2023 Estoril R16,26.2,1760.8
Jason Kubler,29.9,1732.3,1589.1,1527.8,1680.5,1660.7,1630,1706.4,2022 Newport QF,29.1,1791.3
Alexander Bublik,25.8,1731.1,1663,1459.3,1674.8,1697,1595.2,1702.9,2022 Basel R16,25.3,1852.5
Christopher Eubanks,26.8,1731,1656,1326.8,1439.9,1693.5,1528.9,1585.5,2023 Miami R16,26.8,1733.5
Taro Daniel,30.2,1729.2,1653,1588.9,1388.7,1691.1,1659.1,1559,2023 Monte Carlo Qual,30.1,1746.5
Roberto Carballes Baena,30,1726.8,1533.9,1665.1,1364.6,1630.4,1695.9,1545.7,2019 Queen's Club Qual,26.2,1749.7
Yannick Hanfmann,31.4,1723.7,1531.8,1678.4,1393.2,1627.8,1701,1558.5,2017 Gstaad SF,25.6,1763.9
Aljaz Bedene,33.1,1722.1,1649.4,1671,1479,1685.7,1696.6,1600.6,2017 Wimbledon R64,27.9,1904.2
Sebastian Baez,22.2,1721.2,1398.5,1767.5,1441.8,1559.8,1744.4,1581.5,2022 Bastad SF,21.5,1934.5
Constant Lestienne,30.8,1719.5,1677.5,1332.5,1412.5,1698.5,1526,1566,2023 Australian Open R128,30.6,1776.3
Zsombor Piros,23.5,1712.9,1442.6,1715.3,1457.9,1577.7,1714.1,1585.4,2023 Oeiras 3 CH F,23.5,1712.9
Jordan Thompson,28.9,1712.8,1656.9,1411,1618.1,1684.9,1561.9,1665.4,2019 s Hertogenbosch SF,25.1,1792.8
Fabio Fognini,35.8,1712.2,1628.9,1704.2,1600.6,1670.5,1708.2,1656.4,2014 Munich SF,26.9,2007.8
Dominic Stricker,20.5,1711.9,1652.3,1517.4,1450.7,1682.1,1614.7,1581.3,2021 Stuttgart R16,18.7,1792.1
Max Purcell,24.9,1707,1643,1356.1,1595.7,1675,1531.5,1651.3,2023 Les Franqueses Del Valles CH QF,24.9,1728.2
Alexei Popyrin,23.6,1703.1,1583.3,1666.5,1504.5,1643.2,1684.8,1603.8,2021 Madrid R32,21.7,1809.7
Kyle Edmund,28.2,1702.1,1649.7,1633.7,1462.9,1675.9,1667.9,1582.5,2019 Miami R32,24.1,1943.9
Borna Gojo,25.1,1701.7,1636.9,1511,1256.6,1669.3,1606.3,1479.1,2023 Murcia CH SF,25,1744.3
Pavel Kotov,24.4,1701.2,1509.4,1694,-,1605.3,1697.6,1550.6,2022 Bastad Qual,23.6,1738.4
Arthur Fils,18.8,1700.7,1682.8,1319.2,-,1691.7,1509.9,1550.3,2023 Marseille QF,18.6,1804.2
Juan Pablo Varillas,27.5,1698.4,1302.7,1680.7,1286.9,1500.5,1689.5,1492.6,2023 Rio De Janeiro R32,27.3,1725.7
Jack Sock,30.5,1694.3,1608.9,1618.6,1647.3,1651.6,1656.4,1670.8,2017 Indian Wells QF,24.4,2037.2
Thiago Monteiro,28.8,1693.2,1538.4,1675.7,1450.6,1615.8,1684.4,1571.9,2022 Paris Qual,28.4,1731.5
Jiri Vesely,29.1,1689.4,1666.1,1538.7,1624.5,1677.7,1614,1657,2014 Wimbledon R64,20.9,1892.3
Sam Querrey,34.8,1688.9,1564.5,1598.4,1624.9,1626.7,1643.6,1656.9,2012 Paris R16,25,1971.6
Roman Safiullin,25.6,1687.3,1630.8,1447.5,1403.5,1659,1567.4,1545.4,2023 Adelaide 1 R32,25.4,1775.9
Ricardas Berankis,32.7,1687.3,1615.8,1516.3,1477.1,1651.6,1601.8,1582.2,2010 Vancouver CH SF,20.1,1808.8
Marc Andrea Huesler,26.8,1686.9,1589,1590.4,1517.8,1638,1638.6,1602.4,2023 Montpellier R32,26.6,1805.9
Matteo Arnaldi,22.1,1686.4,1459.8,1654.2,1349.5,1573.1,1670.3,1518,2022 Saint Tropez CH SF,21.6,1707.1
Aleksandar Kovacevic,24.5,1686.2,1629.8,1184.4,-,1658,1435.3,1543.1,2023 Phoenix CH R16,24.5,1739.1
Liam Broady,29.2,1685.7,1661.2,1393.1,1468.4,1673.4,1539.4,1577.1,2022 Phoenix CH QF,28.1,1741.7
Otto Virtanen,21.8,1683.8,1676.4,1282.1,1424.8,1680.1,1483,1554.3,2023 Lille CH F,21.7,1741.6
Juan Manuel Cerundolo,21.4,1683.4,1344,1659.1,1349.8,1513.7,1671.2,1516.6,2023 Concepcion CH R16,21.1,1783.9
Alejandro Tabilo,25.8,1682.3,1640.3,1571.8,1410.5,1661.3,1627.1,1546.4,2022 Sarasota CH QF,24.8,1792.2
Michael Mmoh,25.1,1678.4,1624.7,1453,1380.3,1651.6,1565.7,1529.3,2017 San Francisco CH QF,19,1749
Jerzy Janowicz,31.8,1678.1,1666.4,1528.8,1597.7,1672.3,1603.5,1637.9,2013 Canada R32,22.7,1931.8
Alexandre Muller,26.2,1672.5,1551.9,1588.2,1257.9,1612.2,1630.4,1465.2,2023 Marrakech SF,26.1,1699.2
Daniel Altmaier,24.5,1672.1,1539.3,1652.8,1415.2,1605.7,1662.4,1543.7,2021 Luedenscheid CH F,22.9,1779.4
John Millman,33.6,1671.1,1592,1540,1484.1,1631.6,1605.6,1577.6,2018 US Open R16,29.2,1842.8
Oscar Otte,29.7,1671.1,1532.3,1612.3,1635.3,1601.7,1641.7,1653.2,2022 Wimbledon R128,28.9,1824.7
Jaume Munar,25.9,1668.1,1472.6,1697.3,1245.9,1570.4,1682.7,1457,2022 Cincinnati Qual,25.2,1807.4
Sebastian Ofner,26.9,1667.9,1496,1634.1,1548,1581.9,1651,1607.9,2017 Vancouver CH R32,21.2,1699.6
Pablo Cuevas,36.4,1665.9,1544.9,1629,1440.6,1605.4,1647.4,1553.2,2016 Nottingham SF,30.4,1908.7
Pedro Cachin,28,1665.7,1352.7,1657,1347.1,1509.2,1661.4,1506.4,2022 Us Open R64,27.3,1757.1
Aslan Karatsev,29.6,1665.5,1595.3,1625.3,1316.7,1630.4,1645.4,1491.1,2021 Rome R32,27.6,1958.7
Albert Ramos,35.2,1664.1,1511.7,1655.6,1293.9,1587.9,1659.8,1479,2017 Barcelona R16,29.2,1872.5
Dennis Novak,29.4,1661.8,1581.3,1563.4,1594.4,1621.6,1612.6,1628.1,2019 Ortisei CH R32,26.2,1749.8
Tomas Barrios Vera,25.3,1661.8,1358.3,1651.9,1379,1510,1656.8,1520.4,2021 Meerbusch CH F,23.6,1671.3
Federico Coria,31,1661.6,1377.8,1680.9,1243.5,1519.7,1671.3,1452.6,2021 Bastad SF,29.3,1741.5
Dominik Koepfer,28.9,1661.3,1553.9,1677.1,1446.4,1607.6,1669.2,1553.8,2020 Hamburg R32,26.3,1788.6
Tim Van Rijthoven,25.8,1661.1,1504.8,1241.6,1688.5,1583,1451.4,1674.8,2022 Wimbledon R32,25.1,1763.7
Andrea Vavassori,27.9,1659.6,1465.7,1619.3,1510.4,1562.6,1639.4,1585,2023 Oeiras 3 CH R16,27.9,1676.2
Vasek Pospisil,32.6,1659.4,1611.5,1279.2,1434.2,1635.5,1469.3,1546.8,2020 Sofia SF,30.3,1886.3
Daniel Elahi Galan,26.8,1653.8,1512.1,1582.5,1421.2,1582.9,1618.1,1537.5,2022 San Diego R16,26.2,1745.8
Alexander Shevchenko,22.3,1652.9,1543.2,1550.9,-,1598,1601.9,1526.5,2023 Barcelona R64,22.3,1659.6
Aleksandar Vukic,27,1651,1571,1489.8,1375.3,1611,1570.4,1513.1,2022 Indian Wells Qual,25.9,1730.1
Marco Cecchinato,30.5,1642.8,1357.2,1612.6,1336.1,1500,1627.7,1489.5,2018 Umag F,25.7,1829
Denis Kudla,30.6,1637.1,1543,1435.2,1610.1,1590.1,1536.2,1623.6,2015 Atlanta Qual,22.9,1772.5
Radu Albot,33.4,1634.3,1564,1497.2,1522.5,1599.2,1565.8,1578.4,2019 Geneva QF,29.5,1808.4
Nikoloz Basilashvili,31,1634,1515.1,1647.9,1548.5,1574.5,1640.9,1591.2,2018 Shanghai R64,26.6,1877.7
Egor Gerasimov,30.2,1632.5,1560.1,1472.4,1303.5,1596.3,1552.5,1468,2020 Davis Cup QLS R1,27.3,1791.1
Federico Delbonis,32.4,1629.7,1415.6,1626.9,1162.8,1522.7,1628.3,1396.3,2017 Hamburg QF,26.8,1861.7
Maximilian Marterer,27.8,1628.6,1562.5,1485.5,1488.8,1595.6,1557,1558.7,2018 Stuttgart R32,22.9,1804.6
Norbert Gombos,32.6,1626.6,1504.3,1602.6,1395.6,1565.5,1614.6,1511.1,2020 Paris R32,30.2,1738.1
Hugo Gaston,22.5,1625.9,1609.8,1548.5,1489.5,1617.8,1587.2,1557.7,2021 Paris R16,21,1783.7
